bird_played,song_played
bl11pu3_FD,directed_bllpu3E_January_15_2018_48791897.wav
bl11pu3_FD,directed_bllpu3E_January_15_2018_49397668.wav
bl11pu3_FD,directed_bllpu3E_January_15_2018_49408348.wav
bl11pu3_FD,directed_bllpu3E_January_15_2018_49614175.wav
bl11pu3_FD,directed_bllpu3E_January_16_2018_49051158.wav
bl11pu3_FD,directed_bllpu3E_January_16_2018_49063419.wav
bl11pu3_FD,directed_bllpu3E_January_16_2018_49405898.wav
bl11pu3_FD,directed_bllpu3E_January_16_2018_49619598.wav
bl11pu3_FD,directed_bllpu3E_January_16_2018_49961949.wav
bl11pu3_FD,directed_C_bllpu3E_January_15_2018_49397668.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_50070825.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_51699928.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_53326418.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_53417498.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_56988118.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_57729628.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_57886147.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_57908558.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_58424087.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_59842676.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_61918858.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_67089538.wav
bl11pu3_UD,norm_bllpu3E_January_15_2018_71189577.wav
bl11pu3_UD,norm_bl11p3_July_20_2015_45789578.wav
bl11pu3_UD,norm_bl11p3_July_20_2015_45837011.wav
bl11pu3_UD,norm_bl11p3_July_20_2015_45845415.wav
bl11pu3_UD,norm_bl11p3_July_20_2015_45925511.wav
bl11pu3_UD,norm_bl11p3_July_20_2015_46023300.wav
bl11pu3_UD,norm_bl11p3_July_20_2015_46051941.wav
bl11pu3_UD,norm_bl11p3_July_20_2015_46209990.wav
bl11pu3_UD,norm_bl11p3_July_20_2015_46462049.wav
bl11pu3_UD,norm_bl11p3_July_20_2015_46505081.wav
bl11pu3_UD,norm_bl11p3_July_20_2015_46666561.wav
g32b89_UD,norm_g32b89_December_08_2016_57377583.wav
g32b89_UD,norm_g32b89_December_08_2016_57705624.wav
g32b89_UD,norm_g32b89_December_08_2016_57365234.wav
g32b89_UD,norm_g32b89_December_08_2016_63320303.wav
g32b89_UD,norm_g32b89_December_08_2016_57623533.wav
g32b89_UD,norm_g32b89_December_08_2016_57483003.wav
g32b89_UD,norm_g32b89_December_08_2016_57567215.wav
g32b89_UD,norm_g32b89_December_08_2016_57646803.wav
g32b89_UD,norm_g32b89_December_08_2016_63351335.wav
g32b89_UD,norm_g32b89_December_08_2016_62611843.wav
g32b89_UD,g32b89_December_08_2016_57365234.wav
g32b89_UD,g32b89_December_08_2016_57705624.wav
pu35pu36_UD,fatmaleround2_October_08_2016_62048841.wav
pu35pu36_UD,fatmaleround2_October_08_2016_624481522.wav
pu35pu36_UD,fatmaleround2_October_08_2016_62113072.wav
pu35pu36_UD,fatmaleround2_October_08_2016_622966212.wav
pu35pu36_UD,fatmaleround2_October_08_2016_63018731.wav
pu35pu36_UD,fatmaleround2_October_08_2016_630187312.wav
pu35pu36_UD,fatmaleround2_October_08_2016_615734322.wav
pu35pu36_UD,fatmaleround2_October_08_2016_62296621.wav
pu35pu36_UD,fatmaleround2_October_08_2016_621130722.wav
pu35pu36_UD,fatmaleround2_October_08_2016_61573432.wav
pu35pu36_UD,fatmaleround2_October_08_2016_62448152.wav
pu35pu36_UD,norm_fatmaleround2_October_08_2016_61573432.wav
pu35pu36_UD,norm_fatmaleround2_October_08_2016_615734322.wav
pu35pu36_UD,norm_fatmaleround2_October_08_2016_630187312.wav
pu35pu36_UD,norm_fatmaleround2_October_08_2016_62113072.wav
pu35pu36_UD,norm_fatmaleround2_October_08_2016_62448152.wav
pu35pu36_UD,norm_fatmaleround2_October_08_2016_62048841.wav
pu35pu36_UD,norm_fatmaleround2_October_08_2016_62296621.wav
pu35pu36_UD,norm_fatmaleround2_October_08_2016_63018731.wav
pu35pu36_UD,norm_fatmaleround2_October_08_2016_622966212.wav
pu35pu36_UD,norm_fatmaleround2_October_08_2016_621130722.wav
pu35pu36_UD,norm_fatmaleround2_October_08_2016_624481522.wav
pu35pu36_UD,pu35pu36.wav
bl4b13_FD,bl4b13E_January_17_2018_50683188.wav
bl4b13_FD,bl4b13E_January_17_2018_50713646.wav
bl4b13_FD,bl4b13E_January_17_2018_51057888.wav
bl4b13_FD,bl4b13E_January_17_2018_51087307.wav
bl4b13_FD,bl4b13E_January_17_2018_51334367.wav
bl4b13_FD,bl4b13E_January_17_2018_56902817.wav
bl4b13_FD,bl4b13E_January_17_2018_56932278.wav
bl4b13_FD,bl4b13E_January_17_2018_56954568.wav
bl4b13_FD,bl4b13E_January_17_2018_57685348.wav
bl4b13_FD,bl4b13E_January_17_2018_57918296.wav
bl4b13_FD,bl4b13E_January_17_2018_57949038.wav
bl4b13_FD,bl4b13E_January_17_2018_58283526.wav
bl4b13_FD,bl4b13E_January_17_2018_58587907.wav
bl4b13_FD,bl4b13E_January_17_2018_58829648.wav
bl4b13_FD,bl4b13E_January_17_2018_59054929.wav
bl4b13_FD,bl4b13E_January_17_2018_59070516.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_50683188.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_50713646.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_51057888.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_51087307.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_51334367.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_56902817.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_56932278.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_57685348.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_57918296.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_57949038.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_58283526.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_58587907.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_58829648.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_59054929.wav
bl4b13_FD,Copy_of_bl4b13E_January_17_2018_59070516.wav
bl4b13_FD,Copy_of_norm_Copy_of_bl4b13E_January_17_2018_50683188.wav
bl4b13_FD,norm_bl4b13E_January_17_2018_50713646.wav
bl4b13_FD,norm_bl4b13E_January_17_2018_51057888.wav
bl4b13_FD,norm_bl4b13E_January_17_2018_51087307.wav
bl4b13_FD,norm_bl4b13E_January_17_2018_56932278.wav
bl4b13_FD,norm_bl4b13E_January_17_2018_57685348.wav
bl4b13_FD,norm_bl4b13E_January_17_2018_58283526.wav
bl4b13_FD,norm_bl4b13E_January_17_2018_59070516.wav
bl4b13_FD,norm_Copy_of_bl4b13E_January_17_2018_50713646.wav
bl4b13_FD,norm_Copy_of_bl4b13E_January_17_2018_51057888.wav
bl4b13_FD,norm_Copy_of_bl4b13E_January_17_2018_51087307.wav
bl4b13_FD,norm_Copy_of_bl4b13E_January_17_2018_51334367.wav
bl4b13_FD,norm_Copy_of_bl4b13E_January_17_2018_56902817.wav
bl4b13_FD,norm_Copy_of_bl4b13E_January_17_2018_56932278.wav
bl4b13_FD,norm_Copy_of_bl4b13E_January_17_2018_57918296.wav
bl4b13_FD,norm_Copy_of_bl4b13E_January_17_2018_57949038.wav
bl4b13_FD,norm_Copy_of_bl4b13E_January_17_2018_58283526.wav
bl4b13_FD,norm_Copy_of_bl4b13E_January_17_2018_58587907.wav
bl4b13_FD,norm_Copy_of_bl4b13E_January_17_2018_58829648.wav
bl4b13_FD,norm_Copy_of_bl4b13E_January_17_2018_59054929.wav
bl4b13_FD,directed_bl4b13E_January_17_2018_50683188.wav
bl4b13_FD,directed_bl4b13E_January_17_2018_50713646.wav
bl4b13_FD,directed_bl4b13E_January_17_2018_51057888.wav
bl4b13_FD,directed_bl4b13E_January_17_2018_51087307.wav
bl4b13_FD,directed_bl4b13E_January_17_2018_56932278.wav
bl4b13_FD,directed_bl4b13E_January_17_2018_57685348.wav
bl4b13_FD,directed_bl4b13E_January_17_2018_58283526.wav
bl4b13_FD,directed_bl4b13E_January_17_2018_59070516.wav
bl4b13_FD,directed_C_bl4b13E_January_17_2018_50713646.wav
bl4b13_FD,directed_C_bl4b13E_January_17_2018_51057888.wav
bl4b13_FD,directed_C_bl4b13E_January_17_2018_51087307.wav
bl4b13_FD,directed_C_bl4b13E_January_17_2018_51334367.wav
bl4b13_FD,directed_C_bl4b13E_January_17_2018_56902817.wav
bl4b13_FD,directed_C_bl4b13E_January_17_2018_56932278.wav
bl4b13_FD,directed_C_bl4b13E_January_17_2018_57918296.wav
bl4b13_FD,directed_C_bl4b13E_January_17_2018_57949038.wav
bl4b13_FD,directed_C_bl4b13E_January_17_2018_58283526.wav
bl4b13_FD,directed_C_bl4b13E_January_17_2018_58587907.wav
bl4b13_FD,directed_C_bl4b13E_January_17_2018_58829648.wav
bl4b13_FD,directed_C_bl4b13E_January_17_2018_59054929.wav
bl4b13_UD,norm_bl4b13E_January_17_2018_48943138.wav
bl4b13_UD,norm_bl4b13E_January_17_2018_49065477.wav
bl4b13_UD,norm_bl4b13E_January_17_2018_73595558.wav
bl4b13_UD,norm_bl4b13E_January_18_2018_29435768.wav
bl4b13_UD,norm_bl4b13E_January_18_2018_31069268.wav
bl4b13_UD,norm_bl4b13E_January_18_2018_33865918.wav
bl4b13_UD,norm_bl4b13E_January_18_2018_33983606.wav
bl4b13_UD,norm_bl4b13E_January_18_2018_36095638.wav
bl4b13_UD,norm_bl4b13E_January_18_2018_39736188.wav
bl4b13_UD,norm_bl4b13E_January_18_2018_41622148.wav
bl4b13_UD,norm_bl4b13E_January_18_2018_41815628.wav
bl4b13_UD,norm_bl4b13E_January_18_2018_67387057.wav
bl4b13_UD,norm_bl4b13E_January_18_2018_70291647.wav
bl4b13_UD,norm_bl4b13E_January_18_2018_74828708.wav
bl4b13_UD,norm_bl4b13E_January_18_2018_76119538.wav
bl4b13_UD,norm_bl4b13E_January_19_2018_29472327.wav
bl4b13_UD,norm_bl4b13E_January_19_2018_31981578.wav
bl4b13_UD,norm_bl4b13E_January_19_2018_34662837.wav
bl4b13_UD,norm_bl4b13E_January_19_2018_41109428.wav
bl4b13_UD,norm_bl4b13E_January_19_2018_43480798.wav
bl4b13_UD,norm_bl4b13E_January_19_2018_45132947.wav
bl4b13_UD,norm_bl4b13_April_24_2015_36858877.wav
bl4b13_UD,norm_bl4b13_April_24_2015_36871404.wav
bl4b13_UD,norm_bl4b13_April_24_2015_37064364.wav
bl4b13_UD,norm_bl4b13_April_24_2015_37102237.wav
bl4b13_UD,norm_bl4b13_April_24_2015_37179478.wav
bl4b13_UD,norm_bl4b13_April_24_2015_37186967.wav
bl4b13_UD,norm_bl4b13_April_24_2015_37213705.wav
bl4b13_UD,norm_bl4b13_April_24_2015_37248108.wav
bl4b13_UD,norm_bl4b13_April_24_2015_37277396.wav
bl4b13_UD,norm_bl4b13_April_24_2015_37290517.wav
bl4b13_UD,bl4b13_April_24_2015_36858877.wav
bl4b13_UD,bl4b13_April_24_2015_37102237.wav
bl4b13_UD,bl4b13_April_24_2015_37213705.wav
bl43p196_UD,norm_bl43p196_September_06_2016_58406142.wav
bl43p196_UD,norm_bl43p196_September_06_2016_69718262.wav
bl43p196_UD,norm_bl43p196_September_06_2016_60493862.wav
bl43p196_UD,norm_bl43p196_September_06_2016_62149672.wav
bl43p196_UD,norm_bl43p196_September_06_2016_60559602.wav
bl43p196_UD,norm_bl43p196_September_06_2016_58662892.wav
bl43p196_UD,norm_bl43p196_September_06_2016_62110882.wav
bl43p196_UD,norm_bl43p196_September_06_2016_66289632.wav
bl43p196_UD,norm_bl43p196_September_06_2016_66164432.wav
bl43p196_UD,norm_bl43p196_September_06_2016_58631192.wav
bl36p46_calls,norm_bl36p46_March_09_2018_64346296.wav
bl36p46_calls,norm_bl36p46_March_09_2018_64351716.wav
bl36p46_calls,norm_bl36p46_March_12_2018_28949160.wav
bl36p46_calls,norm_bl36p46_March_12_2018_34774672.wav
bl36p46_calls,norm_bl36p46_March_12_2018_33190532.wav
bl36p46_calls,norm_bl36p46_March_12_2018_29065163.wav
bl36p46_calls,norm_bl36p46_March_12_2018_34753344.wav
bl36p46_calls,norm_bl36p46_March_12_2018_29029322.wav
bl36p46_calls,norm_bl36p46_March_12_2018_33234890.wav
bl36p46_calls,norm_bl36p46_March_12_2018_34794350.wav
bl36p46_calls,norm_bl36p46_March_09_2018_71649825.wav
bl36p46_calls,norm_bl36p46_March_12_2018_30851300.wav
bl36p46_calls,norm_bl36p46_March_12_2018_33228540.wav
bl36p46_calls,norm_bl36p46_March_12_2018_33237728.wav
bl36p46_calls,norm_bl36p46_March_12_2018_30148483.wav
bl36p46_calls,norm_bl36p46_March_12_2018_29885960.wav
bl36p46_calls,norm_bl36p46_March_12_2018_30728060.wav
bl36p46_calls,norm_bl36p46_March_09_2018_71302985.wav
bl36p46_calls,norm_bl36p46_March_12_2018_30739951.wav
bl36p46_calls,norm_bl36p46_March_09_2018_70853705.wav
bl36p46_calls,norm_bl36p46_March_09_2018_71755796.wav
bl36p46_calls,norm_bl36p46_March_09_2018_71232345.wav
bl36p46_calls,norm_bl36p46_March_12_2018_34769912.wav
bl36p46_calls,norm_bl36p46_March_09_2018_71771245.wav
bl36p46_calls,norm_bl36p46_March_12_2018_33224923.wav
bl36p46_calls,norm_bl36p46_March_12_2018_29021450.wav
bl36p46_calls,norm_bl36p46_March_12_2018_30130373.wav
bl36p46_calls,norm_bl36p46_March_12_2018_34872222.wav
bl36p46_calls,norm_bl36p46_March_12_2018_33219130.wav
bl36p46_calls,norm_bl36p46_March_12_2018_30143558.wav
bl36p46_calls,norm_bl36p46_March_12_2018_29548710.wav
bl36p46_calls,norm_bl36p46_March_12_2018_35341838.wav
bl36p46_calls,norm_bl36p46_March_12_2018_33250893.wav
bl36p46_calls,norm_bl36p46_March_09_2018_71732263.wav
bl36p46_calls,norm_bl36p46_March_09_2018_71598654.wav
bl36p46_calls,norm_bl36p46_March_09_2018_71763194.wav
bl36p46_calls,norm_bl36p46_March_09_2018_71948714.wav
bl36p46_calls,norm_bl36p46_March_12_2018_30737353.wav
bl36p46_calls,norm_bl36p46_March_09_2018_71616676.wav
bl36p46_calls,norm_bl36p46_March_12_2018_29097265.wav
bl36p46_calls,norm_bl36p46_March_12_2018_36177518.wav
bl36p46_calls,norm_bl36p46_March_12_2018_33214822.wav
bl36p46_calls,norm_bl36p46_March_12_2018_30723879.wav
bl36p46_calls,norm_bl36p46_March_12_2018_35118940.wav
